node_id,goal_id,heuristic_value,true_remaining_cost,delta,admissible
5564620678,5564620678,0.0,0.0,0.0,True
4823668170,5564620678,44716.53051918454,57084.13843740467,-12367.607918220128,True
7858285282,5564620678,43564.08303353851,93479.53787774143,-49915.45484420292,True
9805619703,5564620678,75535.82353121636,142874.07015398642,-67338.24662277006,True
6646102406,5564620678,49423.05585750921,77064.12413013949,-27641.068272630284,True
12361355665,5564620678,62508.91593855466,102725.5593917001,-40216.643453145436,True
3270373280,5564620678,45944.94559794642,80165.83463453013,-34220.88903658371,True
9789724326,5564620678,55903.27000228668,93243.1247751977,-37339.85477291103,True
9169536724,5564620678,68724.649396221,144296.04763708715,-75571.39824086615,True
5002585621,5564620678,60996.79590923452,111028.91022115975,-50032.11431192523,True
5608590242,5564620678,45805.675653607585,86277.54300704114,-40471.867353433554,True
10124278051,5564620678,141681.98650971,385946.6226337213,-244264.63612401127,True
9957303552,5564620678,74700.67612931097,147528.01176997615,-72827.33564066517,True
12920983634,5564620678,45053.03528597002,73974.92403266976,-28921.88874669974,True
9901962073,5564620678,32420.498291089676,59694.08856946112,-27273.590278371445,True
9171359011,5564620678,78473.0142306469,158491.85151603102,-80018.83728538411,True
6197497715,5564620678,69025.69630208562,134143.45728000352,-65117.760977917904,True
11411588669,5564620678,40078.37853056057,65939.76727850625,-25861.388747945675,True
825447813,5564620678,68997.50716861746,109966.0758187707,-40968.56865015323,True
6163015418,5564620678,92359.64631024368,166241.19621966052,-73881.54990941683,True
9166710686,5564620678,92794.28375606374,137260.0845973557,-44465.800841291944,True
5614955520,5564620678,27636.132432294064,63367.99573321468,-35731.86330092062,True
4887575180,5564620678,47009.547797456704,85116.53600161665,-38106.98820415995,True
3643392025,5564620678,142371.26826346404,277744.1702788842,-135372.90201542014,True
9151201841,5564620678,63229.30000411735,114531.96103480471,-51302.66103068736,True
5660123078,5564620678,52328.081474197796,101368.28889920902,-49040.20742501122,True
264878139,5564620678,37078.03247090023,56807.66017559984,-19729.62770469961,True
4396310502,5564620678,28653.16199078689,53614.069714275385,-24960.907723488494,True
10672249219,5564620678,38563.15174125777,81416.55506897261,-42853.40332771484,True
5627936216,5564620678,37322.7541729074,72157.16904853862,-34834.41487563122,True
5963326458,5564620678,109162.2733468486,308194.9771545406,-199032.70380769199,True
6149144856,5564620678,58504.325453174264,106948.9765619958,-48444.65110882154,True
13536463954,5564620678,64285.72180651903,122551.13869940801,-58265.41689288898,True
5794229373,5564620678,31431.553958945147,51495.306081464456,-20063.75212251931,True
4611240095,5564620678,34934.564125125085,64248.185946566366,-29313.62182144128,True
3095044665,5564620678,32518.437499550073,59504.27187225866,-26985.834372708585,True
5006428536,5564620678,8610.568291090549,23433.764746250286,-14823.196455159738,True
3514169034,5564620678,54151.42844866842,93089.42351819071,-38937.995069522294,True
4903534812,5564620678,28996.99706346132,49352.316984235724,-20355.319920774404,True
