u,v,goal_id,h_u,h_v,edge_cost,residual,consistent
12361309965,12361309974,4594175828,165922.3142076011,159560.379061411,801.3075440340971,5560.627602156019,False
4597660902,3508724275,4594175828,162833.94781296558,181197.6834387525,65.7426326285365,-18429.478258415445,True
5002913346,5002913050,4594175828,176075.98675149656,174860.4276907425,320.95132200668365,894.6077387473779,False
3821159905,3821159909,4594175828,50036.86760798809,49819.08053848002,99.12616901761925,118.66090049045306,False
5063259786,5063259745,4594175828,199706.61215087937,184519.81866468405,1453.9470312275241,13732.846454967803,False
7876527335,7876527334,4594175828,169471.6206059639,173633.66365669033,151.6911354521035,-4313.734186178539,True
6175963774,6176075230,4594175828,175789.12821459654,185745.30745707027,714.2780830440134,-10670.457325517753,True
6163500209,6163500419,4594175828,68998.74554671774,73600.91433046943,405.43742814452116,-5007.6062118962145,True
6787490241,6787356081,4594175828,156544.30736341342,167155.85258064838,547.5641353480793,-11159.109352583037,True
9907507674,7876438418,4594175828,161159.6785251057,160051.0514373822,281.9890574905615,826.6380302329198,False
1623265435,12878332535,4594175828,194458.53881690995,187960.11393518702,497.7707447787497,6000.654136944184,False
9971991406,9971991572,4594175828,124804.68722438686,127603.3678991758,2126.6251106734762,-4925.30578546242,True
5651019888,5650869161,4594175828,148496.43614452914,159368.98346596232,136.55105258637897,-11009.098374019552,True
11512046831,6335667362,4594175828,162208.88791634838,167020.79878778433,87.09689765609303,-4899.007769092044,True
5612997158,5612997164,4594175828,145014.05535590684,145720.94419347946,107.25316352603224,-814.1420010986621,True
4874313341,4875959845,4594175828,161506.0712764777,159146.71559273385,85.4764014366492,2273.879282307229,False
11292744575,11360387926,4594175828,113510.6048262108,113957.70862887808,2590.5205374167913,-3037.624340084076,True
5623765669,5624248478,4594175828,180723.52932051857,173204.86020048906,452.7982968673208,7065.8708231622,False
5606386413,5606386416,4594175828,158349.0108213867,167143.63539080252,140.49455158458812,-8935.119121000404,True
5752321484,11309469026,4594175828,114676.26427538379,118506.16183562644,213.479949439713,-4043.3775096823665,True
9164622200,3152272555,4594175828,33722.81450221341,37574.06103315876,2128.6131371886872,-5979.859668134035,True
9789676338,9789676343,4594175828,76866.87427546023,81882.89650038202,883.0804044519185,-5899.102629373709,True
9167448221,9167418416,4594175828,53921.30873052643,58565.98779785315,525.2208540900098,-5169.899921416734,True
4989866079,4989866072,4594175828,142083.7583350612,144462.00860401196,78.44521849787766,-2456.6954874486546,True
9795178434,4644302772,4594175828,82051.04072123981,89643.70605383601,827.8793931737324,-8420.544725769927,True
9784867935,9784863908,4594175828,68862.89775731436,60714.558125907875,77.77109672316402,8070.568534683327,False
5636472101,5636472134,4594175828,155840.32446961067,155181.30208505347,255.52877574190492,403.49360881530447,False
4930207145,4894748386,4594175828,160061.35768914665,149555.00904483325,69.52768190802507,10436.820962405385,False
1990900829,4921752341,4594175828,164891.34170989893,160776.27756250344,197.3079193422579,3917.756228053244,False
2810656826,2810656825,4594175828,302681.82223420125,313885.4708137836,14.299276440523665,-11217.94785602286,True
5835939618,7858284251,4594175828,187790.01078125316,191961.5501535211,369.491003388945,-4541.030375656876,True
1689724794,1691757176,4594175828,139426.81861627346,128968.80691197625,9479.63026222192,978.3814420753042,False
9956313146,9956313133,4594175828,158267.8361598326,143035.68069606464,1452.0691786230657,13780.086285144906,False
3277536715,3271727467,4594175828,166650.7828024659,169288.22138064203,38.317776133896565,-2675.756354310026,True
4987999236,4987999284,4594175828,182017.66415197917,187980.19955470596,326.1318388391775,-6288.6672415659705,True
5665842338,5665897898,4594175828,160376.58813263424,165254.29358774557,2359.0312270780405,-7236.736682189367,True
4910346050,4910346044,4594175828,156953.26419624133,163432.4734603516,95.957399166709,-6575.166663276992,True
4632141202,4632141197,4594175828,299970.55490891135,268753.67376828694,501.9592896393123,30714.92185098509,False
4986112918,4986112911,4594175828,171220.63542664444,163335.52592673938,326.7991620779125,7558.3103378271335,False
9392768973,9392768969,4594175828,148057.8535645703,141325.745903076,87.08624593529095,6645.021415559022,False
13697323815,13697323809,4594175828,152496.4703269158,166771.16537383947,36.99143477300812,-14311.68648169667,True
4989791302,4989842313,4594175828,144286.65075620022,149348.9097617658,198.32557839376665,-5260.5845839593385,True
11724236553,11724236552,4594175828,160103.78153785714,151600.49648811092,156.85409386941555,8346.4309558768,False
8912955520,3783479845,4594175828,162988.02447607386,153278.70748288548,93.83875300717884,9615.478240181197,False
9797900717,6624692510,4594175828,178974.4862999253,188823.93177739394,474.3459451958319,-10323.79142266445,True
5662616152,5662561976,4594175828,163837.48927418687,163582.38077515137,104.70723649937507,150.40126253612107,False
9796831802,2447912072,4594175828,202539.84152302853,238562.67646564383,14.404014569031848,-36037.23895718434,True
4923592820,4923592675,4594175828,167630.37840329445,157450.2115602042,98.79455502610915,10081.372288064158,False
5652829698,4856059322,4594175828,187624.17521903038,183145.99126808977,340.9105195934574,4137.273431347159,False
5628113135,5629859724,4594175828,165939.0346031005,178254.9472646586,722.7667505555605,-13038.679412113677,True
4874038583,4874038839,4594175828,175237.600158075,165025.73578043995,14.881809702859314,10196.982567932166,False
10567616905,10567616903,4594175828,157878.36979161503,158957.39623032283,19.180419790523416,-1098.2068584983354,True
9169059723,2453926902,4594175828,58818.428077408535,61826.763269247895,685.8080111367973,-3694.1432029761563,True
5063403509,5063403504,4594175828,179316.15337108145,184874.05829157896,333.6930058890489,-5891.597926386545,True
7858284338,7858284552,4594175828,187462.96282939546,175740.97863683032,338.7802891974278,11383.203903367714,False
9753158889,9753230164,4594175828,130788.92673958304,122448.6954359213,432.2034446104435,7908.027859051304,False
5363616525,5314695868,4594175828,196550.6481235041,207477.29429461661,85.51028111095548,-11012.156452223484,True
5717490873,12028794339,4594175828,161392.61420558544,167765.48087583177,87.42198758527364,-6460.28865783161,True
5756091683,5756088798,4594175828,163275.29953399277,152918.66568910264,1551.2601239730593,8805.373720917065,False
5613041923,5621365193,4594175828,181549.34897793306,189563.35662479443,1225.0752733957606,-9239.082920257119,True
5613041862,5613041876,4594175828,177778.00969979336,178803.35841175143,524.974644844028,-1550.3233568021096,True
4582323290,13249634110,4594175828,182371.88660672578,190648.72715886502,331.3512820498963,-8608.191834189143,True
3306167687,3273809383,4594175828,207521.84599148817,204439.46160269456,94.22091523821084,2988.1634735554107,False
4916336037,4916336038,4594175828,150424.16750706403,142603.87069513748,91.63076824836749,7728.666043678182,False
5070653859,346634908,4594175828,193126.75124948478,204838.1010459109,299.2303842238841,-12010.580180650024,True
12161794317,12161794315,4594175828,149644.63839923983,145175.9310228121,13.96628104469055,4454.74109538304,False
7858290144,7858292108,4594175828,190431.84287362083,190030.41455923952,749.2158031139776,-347.7874887326616,True
5674303015,5674303012,4594175828,213956.19429846926,230319.07367815558,455.587399737711,-16818.466779424023,True
11527231523,11527231515,4594175828,211455.81405590416,208308.42330390643,220.13984329588232,2927.250908701855,False
5645487600,5645487608,4594175828,154539.19075212989,156404.07630038957,46.550140944134256,-1911.4356892038195,True
4881262292,4881262294,4594175828,167458.67147093944,170039.93693961334,178.65035308247613,-2759.915821756382,True
9075629176,11957603524,4594175828,279825.0167361664,221924.73145860023,1347.0625234586444,56553.2227541075,False
6146814732,6146924970,4594175828,153021.99082798118,156691.95551855376,53.72308360753202,-3723.6877741801145,True
7481860544,7481860524,4594175828,194017.15246520817,195092.1042510121,417.130504668517,-1492.0822904724337,True
9560176154,12800257800,4594175828,164742.44113708325,170009.10865600166,42.67724796012105,-5309.344766878523,True
4987935719,11370563180,4594175828,146406.17718580517,138883.3346177339,57.77172360794731,7465.070844463335,False
4921752370,4921718609,4594175828,158574.65466043007,157975.23477142554,143.6939928109774,455.7258961935586,False
4910537256,11954259833,4594175828,165661.82491546264,171478.71350500407,88.54906497459952,-5905.437654516019,True
5651024815,5651024814,4594175828,134492.73779603626,131301.01828514214,74.60652200599691,3117.1129888881405,False
4585056959,4585056960,4594175828,176875.72405570222,163760.6756681884,173.81387862158198,12941.23450889223,False
9388099753,9388099752,4594175828,144042.4867079443,145378.99042605862,104.58946555341576,-1441.0931836677191,True
5636512397,5636472185,4594175828,150860.77569867918,146624.2870105722,38.05570141830015,4198.432986688655,False
5609322562,5609322560,4594175828,161890.4818370021,164433.40570547918,68.11570796722721,-2611.039576444309,True
6059303995,5001003141,4594175828,146755.60431429528,152174.7114452781,302.50965513337485,-5721.61678611621,True
6646267396,6646267387,4594175828,166694.04531174977,165930.55304584358,658.4494572750453,105.042808631144,False
11652058151,12361282179,4594175828,131784.188029319,137593.33516249777,114.76640321808841,-5923.913536396867,True
4879714912,4879637985,4594175828,177666.6437380109,167756.70923685067,129.0097035602329,9780.92479759999,False
6059281552,5006485086,4594175828,162215.32843399185,144400.96750177597,519.1817280652072,17295.179204150656,False
4800110829,4800110833,4594175828,157581.7882619415,158520.6160907711,64.13792858643588,-1002.9657574160374,True
4387365574,9487733746,4594175828,81902.61630149657,92193.80917399786,977.295204230331,-11268.48807673162,True
9958993970,6645956801,4594175828,155763.57648374926,160477.8690174445,154.55636694892345,-4868.848900644167,True
5650794076,5650845532,4594175828,162783.5131524142,163902.019679243,307.3349710079629,-1425.841497836751,True
9919054310,7483785362,4594175828,141063.66112139903,143107.1703260669,188.7534751796839,-2232.2626798475685,True
4989866085,4989866100,4594175828,140555.08567311714,136232.00234134556,101.3439360482564,4221.739395723329,False
4584010323,4882865451,4594175828,162245.2342302344,168303.27215066346,272.91772856478747,-6330.95564899384,True
10068005353,10068005348,4594175828,135722.33022030126,135291.64399957636,539.682649894888,-108.9964291699871,True
5093809530,5093809529,4594175828,202094.76282350183,190148.6021663028,355.7525214854906,11590.408135713544,False
2520046871,2520046895,4594175828,158765.26245649246,161031.2879043314,19.541244730486795,-2285.5666925694386,True
5794334665,13340845420,4594175828,140913.77093793036,173544.71212773482,70.61695121562275,-32701.558141020098,True
4874148731,4874148953,4594175828,174593.68020768906,165892.60630100392,170.27778585338814,8530.796120831743,False
5616395642,5615038236,4594175828,167938.0054429571,166704.47552785432,136.847914952608,1096.6820001501765,False
4636077347,4636077333,4594175828,181141.06469697648,187006.4597725181,154.95293541289382,-6020.348010954534,True
4963089432,4963089430,4594175828,186613.79038106475,185181.28655973732,569.7544866555743,862.7493346718547,False
11335475904,11335475906,4594175828,169062.5187690997,164196.96377116544,79.2559519979064,4786.29904593635,False
5065461930,5065461940,4594175828,177434.40804383915,178884.3853956669,68.84394838330698,-1518.8213002110715,True
4874038587,4982510451,4594175828,178191.82522866805,182364.99606364727,86.14582623367586,-4259.316661212884,True
9793466832,9793466826,4594175828,235264.6220541087,214494.37454633226,388.300197973703,20381.947309802752,False
5629930214,5628112980,4594175828,177946.10584489407,167266.12570456517,728.7564693200609,9951.223671008833,False
4875912631,1623280072,4594175828,167387.28959571922,163389.46923849388,208.43170585405562,3789.3886513712932,False
9157978258,9157978254,4594175828,67605.50818872766,64844.53666465498,244.47984136970177,2516.491682702981,False
4513717180,4513696597,4594175828,170491.06356643647,168783.9156040798,337.1680290408188,1369.9799333158298,False
5000989511,4990248713,4594175828,176127.03755575843,171130.42655958087,522.4458415259888,4474.165154651564,False
10228918241,10228918225,4594175828,211725.72989231194,201077.26082948316,701.3524347494013,9947.116628079384,False
6038793963,6038793946,4594175828,263608.3131405248,269517.7018995001,1909.433732333178,-7818.8224913085,True
5717335676,5717335698,4594175828,194984.0887490141,197544.44142450532,28.426624502025696,-2588.7792999932426,True
5070787945,5070787938,4594175828,165626.79539522965,176762.66279151928,132.46829136609674,-11268.335687655723,True
7876547170,7876547114,4594175828,170159.77030673332,164565.67208099572,406.0206838104307,5188.077541927167,False
11217076095,11367746534,4594175828,226170.7211417688,227031.0742618763,1268.1187781144702,-2128.471898221964,True
6786619792,6786619159,4594175828,119902.40567803821,128981.56278204263,4748.005262677905,-13827.162366682329,True
12327922211,12327910671,4594175828,237534.31672825437,245687.97677755688,447.4961496570665,-8601.156198959565,True
6431302386,6431307258,4594175828,149457.20496990197,142422.14992898187,693.7871401644917,6341.2679007556,False
